;id;id_original;data_set_original;data_set;ano;data;region;soil.classes;textura;local;SRC;EPGS;X;id_original.1;coord_x;coord_y;geology;landuse_field;clay;silt;sand;top;bottom;DC;WCc;WCt;twi;lulc_mapbiomas;bio12c2;bio15c2;bio1c2;bio3c2;bio7c2;rKao;rGoe;rHem;Organics_1;Organics_2;Organics_3;Organics_4;Organics_5;Organics_6;Organics_7;Organics_8;Organics_9;Organics_10;Organics_11;Organics_12;Organics_13;Organics_14;Organics_15;Organics_16;Organics_17;Organics_18;Organics_19;Organics_20;Organics_21;Organics_22;Organics_23;Organics_24;Water_25;Water_26;Water_27;Water_28;Water_29;Hydroxyl_30;Hydroxyl_31;Hydroxyl_32
1;1;1;BD1;BD1;2013;05/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;1;-54.390205;-28.030105;AV;AA;48;34;18;0;5;1.89;2.32;1.86;9.758852959;Farming;1843;9.652236938;19.36249924;53.47859192;21.80000114;0.056252415;0.326399566;0.447176707;0.011732448;0.015069216;0.009985638;0.012341132;0.005636479;0.05896895;0.003253974;0.012039381;0.007699508;0.012739663;0.005977151;0.010192201;0.030002009;0.050800338;0.006775148;0.019649301;0.004134498;0.048406831;0.012039381;1.915601466;0.965195097;0.017584693;0.022204275;0.083274295;0.123306238;0.011669566;0.008962574;0.011863586;0.013282171;0.00297212;0.015342118;0.006034758
2;4;2;BD1;BD1;2013;05/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;2;-54.396468;-28.032491;AV;AA;56;34;10;0;5;2.42;2.14;1.86;10.00729465;Farming;1841;9.698101044;19.41250038;53.40214157;21.79999924;0.088618007;0.83206448;0.962029586;0.00474424;0.004969272;0.00588972;0.007704524;0.002615511;0.051784409;0.001803403;0.004695288;0.007817629;0.011421449;0.008398561;0.017542571;0.017375996;0.034187576;0.004132402;0.01379079;0.003859008;0.02955373;0.004695288;1.802148206;0.243456148;0.013573926;0.004651364;0.217120839;0.113211601;0.003412137;0.00879878;0.008535891;0.01516135;0.006151503;0.013434024;0.004071237
3;6;3;BD1;BD1;2013;05/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;3;-54.400397;-28.042884;AV;AA;53;29;18;0;5;2.62;2.84;2.55;9.526294708;Farming;1835;9.741431236;19.56666756;53.60983276;21.70000076;0.040625417;0.380005777;0.496496562;0.007653377;0.002261367;0.0028559;0.014495617;0.003974866;0.095542735;0.00184182;0.005540548;0.00644398;0.005919015;0.005293784;0.016069908;0.009528319;0.031095348;0.003949808;0.0035464;0.001302914;0.028580846;0.005540548;1.224777262;0.906623606;0.010787911;0.004932178;0.113460818;0.093309732;0.00533233;0.011882128;0.006834069;0.015877789;0.002499303;0.017675493;0.005175928
4;8;4;BD1;BD1;2013;05/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;4;-54.411028;-28.025188;AV;AA;53;31;16;0;5;2.18;2.38;2.02;9.494880676;Farming;1839;9.620285988;19.44166756;53.44036865;21.79999924;0.086421929;0.450161291;0.64932998;0.006693531;0.007072087;0.006718467;0.017017328;0.006948594;0.041493343;0.002419843;0.008408295;0.00618853;0.004103316;0.004959694;0.01502047;0.021877981;0.033363878;0.006950545;0.013510357;0.006085868;0.047796899;0.008408295;2.172277569;0.259968048;0.01382687;0.006945018;0.054303902;0.087744281;0.006901448;0.019169251;0.003309505;0.016300142;0.001956981;0.019055154;0.00476152
5;10;5;BD1;BD1;2013;05/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;5;-54.39583;-28.034393;AV;AA;51;37;12;0;5;2.82;2.45;2.5;10.09098339;Farming;1838;9.620351791;19.46666718;53.44036865;21.79999924;0.050960787;0.504233411;0.649749497;0.007818879;0.009978088;0.007475098;0.008693144;0.003459002;0.10382334;0.0019418;0.008317764;0.006542203;0.003982263;0.002963323;0.017122834;0.015182894;0.046007192;0.001688588;0.010086665;0.003746407;0.026703722;0.008317764;1.498664691;0.336964311;0.013385843;0.009926352;0.108454051;0.105561996;0.003706681;0.011341618;0.003947443;0.022268026;0.00175901;0.011089696;0.004387324
6;12;6;BD1;BD1;2013;05/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;6;-54.400295;-28.036352;AV;AA;51;36;13;0;5;3.02;2.67;2.75;9.644473076;Farming;1834;9.565192223;19.51250076;53.40214157;21.79999924;0.060279394;0.364911838;0.48022535;0.003965095;0.012621053;0.0093191;0.011212925;0.00599256;0.065055447;0.003968963;0.005177916;0.012088804;0.011014487;0.006171232;0.010338753;0.014438066;0.02640429;0.003692865;0.016929769;0.001956091;0.024439275;0.005177916;1.822605007;0.180429303;0.008625527;0.004024047;0.101122768;0.078820291;0.003470544;0.026143066;0.010976289;0.031059198;0.004490462;0.023354903;0.006312446
7;14;7;BD1;BD1;2013;05/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;7;-54.397215;-28.03512;AV;AA;50;35;15;0;5;2.52;3.07;2.35;9.984330177;Farming;1838;9.620351791;19.46666718;53.44036865;21.79999924;0.041673499;0.354003317;0.436752505;0.004369301;0.009449297;0.004921287;0.015424172;0.005458541;0.05828435;0.001185672;0.004724865;0.006104073;0.008234757;0.003604324;0.013204915;0.01733529;0.029341596;0.004010843;0.009884492;0.002227511;0.023381276;0.004724865;1.530282692;0.219674651;0.010194908;0.005606873;0.098165535;0.098733569;0.002334633;0.026918488;0.006831466;0.018887451;0.002570248;0.018760595;0.001789467
8;16;8;BD1;BD1;2013;05/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;8;-54.403435;-28.034338;AV;AA;55;30;15;0;5;2.23;2.55;2.03;9.605353355;Farming;1834;9.565192223;19.51250076;53.40214157;21.79999924;0.048394585;0.444412836;0.483298426;0.007020116;0.007942345;0.007769402;0.012564379;0.005832193;0.052268479;0.002723395;0.005245393;0.006627641;0.007142467;0.009358666;0.017841449;0.018219946;0.038694475;0.003001635;0.00821704;0.004909253;0.038919287;0.005245393;1.404104906;0.349417065;0.017698088;0.010211892;0.138472598;0.103325263;0.00463931;0.011027376;0.00679393;0.013429092;0.005103358;0.021197679;0.003955022
9;18;9;BD1;BD1;2013;05/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;9;-54.401031;-28.038766;AV;AA;50;43;7;0;5;2.34;3.13;2.16;9.593538284;Farming;1834;9.565192223;19.51250076;53.40214157;21.79999924;0.029706736;0.227555283;0.293061764;0.006393955;0.006215333;0.007332399;0.009424374;0.006286178;0.052032528;0.003229681;0.007412375;0.01671347;0.008710698;0.005355072;0.011447177;0.008133482;0.027020702;0.004658289;0.0086331;0.00301342;0.020895673;0.007412375;1.30091565;0.235296015;0.014268085;0.01533527;0.110421967;0.082030426;0.003662747;0.01387477;0.009674019;0.019343737;0.001657149;0.018225782;0.004189553
10;20;10;BD1;BD1;2013;05/09/2013;R1;LV;argilosa;girua;wgs84;EPSG:4326;NA;10;-54.397559;-28.032969;AV;AA;50;38;12;0;5;2.58;2.49;2.39;9.87401104;Farming;1841;9.698101044;19.41250038;53.40214157;21.79999924;0.062466208;0.502719725;0.676928299;0.003880529;0.006973166;0.002743467;0.008458857;0.002601194;0.112264778;0.000594298;0.007867009;0.009639497;0.00261515;0.003447662;0.009947541;0.014833481;0.027296067;0.003744253;0.010182879;0.004044194;0.021791809;0.007867009;1.363035839;0.279884075;0.007188729;0.002741644;0.142488803;0.090778836;0.001908845;0.010255591;0.003376521;0.011826039;0.006187194;0.012784093;0.002445289
