"","f","p","y","x","m","MedE","MedAE","MedSE","MedSDR","AVE","mAVE"
"1","DC ~ 0 + WCt","A","DC","WCt","DC ~ WCT",0.000819034276419713,0.00841077006379001,7.07410530659462e-05,0.165179142447605,0.968825116037571,0.837589128945779
"2","DC ~ 1 + WCt","B","DC","WCt","DC ~ WCT",0.0016815963326542,0.00813850147639871,6.62352062813441e-05,0.193717612059753,0.969246531741143,0.83958513378128
"3","DC ~ 1 + WCt + I(WCt^2)","C","DC","WCt","DC ~ WCT",0.00161131590501749,0.0080556920992778,6.48941751983668e-05,0.18837362672951,0.968730213678921,0.838900712101557
"4","DC ~ 1 + WCt + I(WCt^2) + Organics_1 + Organics_2 + Organics_3 + Organics_4 + Organics_5 + Organics_6 + Organics_7 + Organics_8 + Organics_9 + Organics_10 + Organics_11 + Organics_12 + Organics_13 + Organics_14 + Organics_15 + Organics_16 + Organics_17 + Organics_18 + Organics_19 + Organics_20 + Organics_21 + Organics_22 + Organics_23 + Organics_24 + Hydroxyl_30 + Hydroxyl_31 + Hydroxyl_32 + rKao + rGoe + rHem","D","DC","WCt","DC ~ WCT",0.00160593589388057,0.00927213993719065,8.59725790148458e-05,0.19699111030762,0.965653303010071,0.829358686523166
"5","DC ~ 1 + WCt + I(WCt^2) + Organics_1 + Organics_2 + Organics_3 + Organics_4 + Organics_5 + Organics_6 + Organics_7 + Organics_8 + Organics_9 + Organics_10 + Organics_11 + Organics_12 + Organics_13 + Organics_14 + Organics_15 + Organics_16 + Organics_17 + Organics_18 + Organics_19 + Organics_20 + Organics_21 + Organics_22 + Organics_23 + Organics_24 + rKao + rGoe + rHem + Hydroxyl_30 + Hydroxyl_31 + Hydroxyl_32 + WCt*clay","E","DC","WCt","DC ~ WCT",0.00147144658286392,0.00945169173731515,8.93344766972314e-05,0.218356424597001,0.965280891549314,0.82984125532985
"6","DC ~ 1 + WCt + I(WCt^2) + Organics_1 + Organics_2 + Organics_3 + Organics_4 + Organics_5 + Organics_6 + Organics_7 + Organics_8 + Organics_9 + Organics_10 + Organics_11 + Organics_12 + Organics_13 + Organics_14 + Organics_15 + Organics_16 + Organics_17 + Organics_18 + Organics_19 + Organics_20 + Organics_21 + Organics_22 + Organics_23 + Organics_24 + rKao + rGoe + rHem + Hydroxyl_30 + Hydroxyl_31 + Hydroxyl_32 + WCt*clay + I(WCt^2)*clay + ME + FI + VF + FS + U + AA + HE + coord_x + coord_y","F","DC","WCt","DC ~ WCT",0.00117118016221971,0.00961639177158573,9.24749907046217e-05,0.212259279325871,0.966562489213235,0.830774314901145
"7","DC ~ 0 + WCc","A","DC","WCc","DC ~ WCC",0.00554260765775664,0.0274137219449643,0.000751512150875819,0.171153228252583,0.647875076645182,0.467178092233691
"8","DC ~ 1 + WCc","B","DC","WCc","DC ~ WCC",0.00884719013354018,0.0271371015261564,0.000736422279240919,0.199345298824885,0.659575515900382,0.466256076863761
"9","DC ~ 1 + WCc + I(WCc^2)","C","DC","WCc","DC ~ WCC",0.00917304775418678,0.028585452455297,0.000817128092074044,0.205048677788235,0.656850970484809,0.460588427719766
"10","DC ~ 1 + WCc + I(WCc^2) + Organics_1 + Organics_2 + Organics_3 + Organics_4 + Organics_5 + Organics_6 + Organics_7 + Organics_8 + Organics_9 + Organics_10 + Organics_11 + Organics_12 + Organics_13 + Organics_14 + Organics_15 + Organics_16 + Organics_17 + Organics_18 + Organics_19 + Organics_20 + Organics_21 + Organics_22 + Organics_23 + Organics_24 + Hydroxyl_30 + Hydroxyl_31 + Hydroxyl_32 + rKao + rGoe + rHem","D","DC","WCc","DC ~ WCC",0.00164359622627537,0.0294949655523201,0.000869952992932548,0.29151687086499,0.727536029653298,0.491984342297298
